,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageYrBlt,GarageCars,GarageArea,SalePrice,ExterQual_TA,Foundation_PConc,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA
20,8,2005,2006,1158,1158,2376,3,9,2005.0,3,853,325300,False,True,True,False,False
21,7,1930,1950,637,1108,1108,1,6,1930.0,1,280,139400,True,True,False,False,False
22,8,2002,2002,1777,1795,1795,2,7,2002.0,2,534,230000,False,True,False,False,False
23,5,1976,1976,1040,1060,1060,1,6,1976.0,2,572,129900,True,True,False,False,True
24,5,1968,2001,1060,1060,1060,1,6,1968.0,1,270,154000,True,False,False,False,False
25,8,2007,2007,1566,1600,1600,2,7,2007.0,3,890,256300,False,True,False,False,False
26,5,1951,2000,900,900,900,1,5,2005.0,2,576,134800,True,False,False,False,False
27,8,2007,2008,1704,1704,1704,2,7,2008.0,3,772,306000,False,True,True,False,False
28,5,1957,1997,1484,1600,1600,1,6,1957.0,1,319,207500,True,False,False,False,True
29,4,1927,1950,520,520,520,1,4,1920.0,1,240,68500,True,False,False,False,False
30,4,1920,1950,649,649,1317,1,6,1920.0,1,250,40000,True,False,False,False,True
31,5,1966,2006,1228,1228,1228,1,6,1966.0,1,271,149350,True,False,False,False,False
32,8,2007,2007,1234,1234,1234,2,7,2007.0,2,484,179900,False,True,True,False,False
33,5,1959,1959,1398,1700,1700,1,6,1959.0,2,447,165500,True,False,False,False,False
34,9,2005,2005,1561,1561,1561,2,6,2005.0,2,556,277500,False,True,True,True,False
35,8,2004,2005,1117,1132,2452,3,9,2004.0,3,691,309000,False,True,True,False,False
36,5,1994,1995,1097,1097,1097,1,6,1995.0,2,672,145000,True,True,False,False,True
37,5,1954,1990,1297,1297,1297,1,5,1954.0,2,498,153000,True,False,False,False,True
38,5,1953,2007,1057,1057,1057,1,5,1953.0,1,246,109000,True,False,False,False,False
39,4,1955,1955,0,1152,1152,2,6,,0,0,82000,True,True,False,False,False
40,6,1965,1965,1088,1324,1324,2,6,1965.0,2,440,160000,True,False,False,False,True
41,5,1959,1959,1350,1328,1328,1,5,1959.0,1,308,170000,True,False,False,False,True
42,5,1983,1983,840,884,884,1,5,1983.0,2,504,144000,True,False,False,False,False
43,5,1975,1980,938,938,938,1,5,1977.0,1,308,130250,True,False,False,False,True
44,5,1959,1959,1150,1150,1150,1,6,1959.0,1,300,141000,True,False,False,False,True
45,9,2005,2005,1752,1752,1752,2,6,2005.0,2,576,319900,False,True,True,True,False
46,7,2003,2003,1434,1518,2149,1,6,2003.0,2,670,239686,False,True,True,False,False
47,8,2006,2006,1656,1656,1656,2,7,2006.0,3,826,249700,False,True,False,False,False
48,4,1920,2008,736,736,1452,2,8,,0,0,113000,True,False,False,False,True
49,5,1966,1966,955,955,955,1,6,1966.0,1,386,127000,True,False,False,False,True
50,6,1997,1997,794,794,1470,2,6,1997.0,2,388,177000,True,True,False,False,True
51,6,1934,1950,816,816,1176,1,6,1985.0,2,528,114500,True,True,False,False,True
52,5,1963,1963,816,816,816,1,5,1963.0,2,516,110000,False,False,False,False,True
53,9,1981,1987,1842,1842,1842,0,5,1981.0,3,894,385000,False,False,True,False,False
54,5,1955,1955,384,1360,1360,1,6,1962.0,2,572,130000,True,False,False,False,True
55,6,1964,1964,1425,1425,1425,2,7,1964.0,2,576,180500,True,False,False,False,True
56,8,1999,2000,970,983,1739,2,7,1999.0,2,480,172500,False,True,False,False,False
57,7,2004,2004,860,860,1720,2,7,2004.0,2,565,196500,False,True,False,False,False
58,10,2006,2006,1410,1426,2945,3,10,2006.0,3,641,438780,False,True,True,False,False
59,5,1972,1972,780,780,780,1,4,1973.0,1,352,124900,True,False,False,False,True
60,6,2004,2004,1158,1158,1158,1,5,2006.0,2,576,158000,True,True,False,False,False
61,5,1920,1996,530,581,1111,1,6,1935.0,1,288,101000,True,False,False,False,False
62,8,2006,2006,1370,1370,1370,2,6,2006.0,2,484,202500,False,True,False,False,False
63,7,1921,1950,576,902,1710,2,9,1990.0,2,480,140000,True,False,False,False,True
64,7,1997,1998,1057,1057,2034,2,8,1998.0,2,645,219500,True,True,False,False,False
65,8,2004,2005,1143,1143,2473,2,9,2004.0,3,852,317000,False,True,True,False,False
66,7,1970,1989,1947,2207,2207,2,7,1970.0,2,576,180000,True,False,False,False,True
67,7,2003,2003,1453,1479,1479,2,7,2003.0,2,558,226000,False,True,False,False,False
68,4,1945,1950,747,747,747,1,4,1945.0,1,220,80000,True,False,False,False,True
69,7,1953,1953,1304,1304,2287,2,7,1953.0,2,667,225000,False,False,False,False,True
70,7,1973,1973,2223,2223,2223,2,8,1973.0,2,516,244000,True,False,False,False,True
71,4,1982,2006,845,845,845,1,4,1987.0,2,360,129500,True,False,False,False,True
72,7,1998,1998,832,885,1718,2,7,1998.0,2,427,185000,True,True,False,False,True
73,5,1954,2003,1086,1086,1086,1,6,1989.0,2,490,144900,True,False,False,False,True
74,3,1915,1950,840,840,1605,2,8,1915.0,1,379,107400,False,False,False,False,True
75,4,1973,1973,462,526,988,1,5,1973.0,1,297,91000,True,False,False,False,True
76,4,1956,1956,952,952,952,1,4,1956.0,1,283,135750,True,False,False,False,True
77,5,1948,2001,672,1072,1285,1,6,1948.0,1,240,127000,True,False,False,False,True
78,4,1968,1968,1768,1768,1768,2,8,,0,0,136500,True,False,False,False,True
79,5,1910,1981,440,682,1230,1,5,1966.0,2,440,110000,True,True,False,False,True
80,6,1968,1968,896,1182,2142,2,8,1968.0,1,509,193500,True,False,False,False,False
81,6,1998,1998,1237,1337,1337,2,5,1998.0,2,405,153500,True,True,True,False,True
82,8,2007,2007,1563,1563,1563,2,6,2007.0,3,758,245000,True,True,False,False,False
83,5,1960,1960,1065,1065,1065,1,6,1974.0,2,461,126500,True,False,False,False,True
84,7,1995,1996,384,804,1474,2,7,1995.0,2,400,168500,True,True,False,False,True
85,8,1991,1992,1288,1301,2417,2,9,1991.0,2,462,260000,False,False,False,False,False
86,6,2005,2005,684,684,1560,2,6,2005.0,2,400,174000,False,True,False,False,False
87,6,2009,2009,612,612,1224,2,4,2009.0,2,528,164500,False,True,False,False,False
88,3,1915,1982,1013,1013,1526,1,6,,0,0,85000,False,False,False,False,False
89,4,1994,1995,990,990,990,1,5,,0,0,123600,True,True,False,False,True
90,4,1950,1950,0,1040,1040,1,4,1950.0,2,420,109900,True,False,False,False,True
91,5,1961,1961,1235,1235,1235,1,6,1961.0,2,480,98600,True,False,False,False,True
92,5,1921,2006,876,964,964,1,5,1921.0,2,432,163500,True,False,False,False,True
93,6,1910,1998,1214,1260,2291,2,9,1900.0,2,506,133900,True,False,False,False,True
94,6,1997,1997,824,905,1786,2,7,1997.0,2,684,204750,True,True,False,False,False
95,6,1993,1993,680,680,1470,2,6,1993.0,2,420,185000,False,True,False,False,True
96,7,1999,1999,1588,1588,1588,2,6,1999.0,2,472,214000,False,True,False,False,False
97,4,1965,1965,960,960,960,1,6,1965.0,1,432,94750,True,False,False,False,True
98,5,1920,1950,458,835,835,1,5,1920.0,1,366,83000,True,False,False,False,True
99,4,1959,1959,950,1225,1225,1,6,,0,0,128950,True,False,False,False,True
100,6,1977,2001,1610,1610,1610,2,6,1977.0,2,480,205000,True,True,False,False,False
101,6,1985,1985,741,977,1732,2,7,1985.0,2,476,178000,False,False,False,False,False
102,5,1979,1979,0,1535,1535,2,8,1979.0,2,410,118964,True,False,False,False,True
103,7,2009,2009,1226,1226,1226,2,6,2009.0,3,740,198900,True,True,False,False,False
104,7,1931,1950,1040,1226,1818,1,7,1951.0,1,240,169500,True,True,False,False,True
105,8,2003,2004,1053,1053,1992,2,9,2003.0,2,648,250000,False,True,True,False,False
106,4,1885,1995,641,1047,1047,1,6,1954.0,1,273,100000,True,False,False,False,True
107,5,1948,1950,789,789,789,1,5,1948.0,1,250,115000,True,False,False,False,True
108,5,1919,2005,793,997,1517,2,7,,0,0,115000,True,False,False,False,False
109,6,1977,1977,1844,1844,1844,2,7,1977.0,2,546,190000,True,False,False,False,True
110,6,1954,1972,994,1216,1855,2,7,1954.0,1,325,136900,True,False,False,False,True
111,7,2000,2000,384,774,1430,2,7,2000.0,2,400,180000,True,True,False,False,True
112,7,2007,2007,1264,1282,2696,2,10,2007.0,3,792,383970,False,True,True,True,False
113,6,1953,1953,1809,2259,2259,2,7,1953.0,2,450,217000,True,False,False,False,False
114,6,1945,2002,1028,1436,2320,2,9,1945.0,1,180,259500,True,False,False,False,False
115,6,1999,1999,729,729,1458,2,5,1999.0,2,440,176000,True,True,False,False,True
116,5,1962,1962,1092,1092,1092,1,6,1962.0,1,288,139000,True,False,False,False,True
117,5,2006,2007,1125,1125,1125,1,5,2007.0,2,430,155000,True,True,False,False,True
118,7,1990,1990,1673,1699,3222,3,11,1990.0,3,594,320000,True,True,False,False,False
119,6,2005,2006,728,728,1456,2,8,2005.0,2,390,163990,False,True,False,False,False
120,6,1969,1969,938,988,988,1,4,1969.0,2,540,180000,True,False,False,False,True
121,4,1939,1950,732,772,1123,1,4,1979.0,1,264,100000,True,True,False,False,True
122,6,1958,1958,1080,1080,1080,1,5,1958.0,1,288,136000,True,False,False,False,True
123,6,1993,1993,1199,1199,1199,2,5,1993.0,2,530,153900,False,True,False,False,False
124,6,1979,1998,1362,1586,1586,2,7,1979.0,2,435,181000,True,False,False,False,True
125,6,1935,1982,520,520,754,1,5,,0,0,84500,True,False,False,False,True
126,6,1976,1976,1078,958,958,2,5,1977.0,2,440,128000,True,False,False,False,True
127,5,1930,1950,672,840,840,1,5,,0,0,87000,True,False,False,False,True
128,6,1966,1966,660,660,1348,1,6,1966.0,2,453,155000,True,False,False,False,True
129,5,1958,1991,1008,1053,1053,1,6,1998.0,2,750,150000,True,False,False,True,False
130,7,1966,1966,924,1216,2157,2,8,1966.0,2,487,226000,True,False,False,False,False
131,6,2000,2000,992,1022,2054,2,7,2000.0,2,390,244000,False,True,False,False,False
132,5,1959,2002,1063,1327,1327,1,7,1974.0,2,624,150750,True,False,False,False,False
133,8,2001,2002,1267,1296,1296,2,6,2001.0,2,471,220000,False,True,True,False,False
134,5,1968,1993,1461,1721,1721,2,7,1968.0,2,440,180000,True,False,False,False,True
135,7,1970,1970,1304,1682,1682,2,7,1970.0,2,530,174000,True,True,False,False,True
136,5,1967,1967,1214,1214,1214,2,5,1967.0,1,318,143000,True,False,False,False,True
137,7,1988,1989,1907,1959,1959,3,9,1989.0,3,766,171000,True,False,False,False,True
138,8,1999,2000,1004,1004,1852,2,7,1999.0,3,660,230000,False,True,False,False,False
139,6,1997,1997,928,928,1764,2,7,1997.0,2,470,231500,True,True,False,False,False
140,4,1971,1971,864,864,864,1,5,,0,0,115000,True,False,False,False,True
141,7,2005,2005,1734,1734,1734,2,7,2005.0,2,660,260000,False,True,False,False,False
142,5,1952,1952,910,910,1385,2,6,2000.0,2,720,166000,True,False,False,False,True
143,7,1999,1999,1490,1501,1501,2,6,1999.0,2,577,204000,False,True,False,False,False
144,5,1963,1963,1728,1728,1728,2,10,1963.0,2,504,125000,True,False,False,False,True
145,6,2004,2006,970,970,1709,2,7,2004.0,2,380,130000,False,True,False,False,False
146,5,1931,1993,715,875,875,1,5,1931.0,1,180,105000,True,False,False,False,True
147,7,2001,2001,884,884,2035,2,8,2001.0,2,434,222500,False,True,False,False,False
148,7,2004,2005,1080,1080,1080,1,6,,0,0,141000,True,True,False,False,False
149,5,1936,1950,896,896,1344,1,7,1936.0,1,240,115000,True,False,False,False,True
150,5,1975,1975,969,969,969,1,5,1975.0,2,440,122000,True,False,False,False,True
151,8,2007,2008,1710,1710,1710,2,6,2007.0,3,866,372402,False,True,True,False,False
152,6,1971,1971,825,1097,1993,2,8,1971.0,2,495,190000,True,False,False,False,True
153,6,1960,1975,1602,1252,1252,1,4,1960.0,2,564,235000,True,False,False,False,True
154,6,1923,1950,1200,1200,1200,1,7,1923.0,1,312,125000,True,False,False,False,True
155,6,1924,1950,572,572,1096,1,5,,0,0,79000,True,False,False,False,True
156,5,1950,1950,0,1040,1040,1,5,1950.0,2,625,109500,True,False,False,False,True
157,8,2009,2010,774,774,1968,2,8,2009.0,3,680,269500,False,True,True,True,False
158,7,2004,2005,991,991,1947,2,8,2004.0,2,678,254900,False,True,False,False,False
159,7,2005,2006,1392,1392,2462,2,9,2006.0,2,576,320000,False,True,False,False,False
160,6,1984,1984,1232,1232,1232,2,6,1984.0,2,516,162500,True,True,False,False,True
161,9,2003,2004,1572,1572,2668,2,10,2003.0,3,726,412500,False,True,True,True,False
162,7,2005,2005,1541,1541,1541,2,7,2005.0,2,532,220000,False,True,False,False,False
163,4,1956,1956,882,882,882,1,4,,0,0,103200,True,False,False,False,True
164,6,1926,2004,1149,1149,1616,2,5,1926.0,1,216,152000,True,False,False,False,False
165,5,1940,1999,644,808,1355,2,6,,0,0,127500,True,False,False,False,True
166,5,1955,1993,1617,1867,1867,1,7,1955.0,1,303,190000,False,False,False,False,True
167,8,2007,2007,1582,1610,2161,1,8,2007.0,3,789,325624,False,True,True,True,False
168,7,2004,2004,840,840,1720,2,7,2004.0,2,440,183500,False,True,False,False,False
169,8,1981,1981,1686,1707,1707,2,6,1981.0,2,511,228000,False,False,False,False,True
170,5,1941,1950,720,854,1382,1,7,1991.0,2,660,128500,True,False,False,False,True
171,6,1960,1960,1080,1656,1656,1,7,1960.0,2,528,215000,True,False,False,False,True
172,7,1987,1987,1064,1064,1767,2,5,1987.0,2,504,239000,False,True,False,False,False
173,6,1961,1961,1362,1362,1362,1,6,1961.0,2,504,163000,True,False,False,False,True
174,6,1986,1986,1606,1651,1651,2,7,1986.0,2,616,184000,True,False,False,False,True
175,6,1950,2001,1202,2158,2158,2,7,1950.0,2,576,243000,True,False,False,False,False
176,6,1988,1989,1151,1164,2060,2,8,1988.0,2,521,211000,False,True,False,False,True
177,5,1958,1958,1052,1252,1920,2,8,1958.0,2,451,172500,False,False,False,False,False
178,9,2008,2009,2216,2234,2234,2,9,2009.0,3,1166,501837,False,True,True,True,False
179,5,1923,2006,968,968,968,1,5,1935.0,2,480,100000,False,False,False,False,True
180,6,2000,2000,756,769,1525,2,5,2000.0,2,440,177000,False,True,False,False,False
181,7,1920,1950,793,901,1802,1,9,1920.0,1,216,200100,True,False,False,False,True
182,5,1957,2006,0,1340,1340,1,7,1957.0,1,252,120000,True,True,False,False,True
183,7,2003,2003,1362,1362,2082,2,6,2003.0,2,484,200000,True,True,False,False,False
184,5,1908,1991,504,936,1252,1,5,1986.0,2,576,127000,True,True,False,False,True
185,10,1892,1993,1107,1518,3608,2,12,1993.0,3,840,475000,False,False,False,True,False
186,7,1990,1991,1188,1217,1217,2,6,1990.0,2,497,173000,True,True,False,False,False
187,5,1916,1987,660,808,1656,2,8,1916.0,1,180,135000,True,False,False,False,True
188,5,1979,1979,1086,1224,1224,0,6,1979.0,2,528,153337,True,False,False,False,True
189,8,2001,2002,1593,1593,1593,1,5,2001.0,2,682,286000,False,True,True,True,False
190,8,1932,1994,853,1549,2727,2,10,1932.0,2,440,315000,False,False,False,False,False
191,7,1972,2004,725,725,1479,1,7,1972.0,2,484,184000,True,False,False,False,False
192,7,1999,1999,1431,1431,1431,2,6,1999.0,2,666,192000,False,True,False,False,False
193,7,2004,2004,970,970,1709,2,7,2004.0,2,380,130000,False,True,False,False,False
194,5,1972,1972,864,864,864,1,5,1989.0,1,352,127000,True,False,False,False,True
195,6,1976,1976,855,855,1456,2,7,1976.0,2,440,148500,True,False,False,False,True
196,7,2007,2007,1726,1726,1726,2,8,2007.0,3,786,311872,False,True,True,True,False
197,8,1918,1990,1360,1360,3112,2,8,1918.0,2,795,235000,False,True,False,False,False
198,6,1912,1950,755,929,2229,1,8,,0,0,104000,True,False,False,False,True
199,8,2004,2005,1713,1713,1713,2,7,2004.0,3,856,274900,False,True,True,True,False
200,4,2003,2004,1121,1121,1121,2,5,2003.0,2,440,140000,True,True,False,False,True
201,6,1977,1977,1196,1279,1279,2,6,1980.0,2,473,171500,True,False,False,False,True
202,6,1924,1950,617,865,1310,2,6,1924.0,1,398,112000,True,False,False,False,True
203,6,2004,2004,848,848,848,1,3,2004.0,2,420,149000,False,True,False,False,False
204,5,1947,1950,720,720,1284,1,5,1948.0,1,240,110000,True,False,False,False,True
205,7,1990,1990,1424,1442,1442,2,5,1990.0,2,500,180500,True,True,False,False,True
206,5,1962,1962,1140,1696,1696,1,8,1962.0,1,349,143900,True,False,False,False,True
207,4,1960,1960,1100,1100,1100,1,6,1960.0,1,312,141000,True,True,False,False,True
208,7,1988,1989,1157,1180,2062,2,7,1988.0,2,454,277000,False,False,False,False,True
209,6,1964,1964,1092,1092,1092,1,6,1964.0,2,504,145000,True,False,False,False,True
210,5,1925,1950,864,864,864,1,5,,0,0,98000,True,False,False,False,True
211,6,2009,2009,1212,1212,1212,2,6,2009.0,2,460,186000,True,True,False,False,False
212,7,2009,2009,900,932,1852,2,7,2009.0,2,644,252678,True,True,False,False,False
213,5,1995,1995,990,990,990,1,5,1996.0,2,576,156000,True,True,False,False,True
214,6,1977,1977,689,689,1392,1,6,1977.0,1,299,161750,True,False,False,False,True
215,5,1957,1996,1070,1236,1236,1,6,1957.0,1,447,134450,True,False,False,False,False
216,7,2004,2004,1436,1436,1436,2,8,2004.0,2,484,210000,False,True,False,False,False
217,4,1925,1950,686,810,1328,1,8,1940.0,1,210,107000,True,False,False,False,True
218,7,1939,2006,798,1137,1954,1,8,1939.0,2,431,311500,False,False,False,False,False
219,7,2005,2006,1248,1248,1248,2,5,2005.0,2,438,167240,False,True,False,False,False
220,7,2006,2006,1498,1498,1498,2,5,2006.0,2,675,204900,False,True,False,False,False
221,6,2002,2002,1010,1010,2267,2,8,2002.0,2,390,200000,False,True,False,False,False
222,6,1975,1975,713,811,1552,2,6,1975.0,2,434,179900,True,False,False,False,True
223,4,1971,1971,864,864,864,1,4,1989.0,2,576,97000,True,False,False,False,True
224,10,2003,2003,2392,2392,2392,2,8,2003.0,3,968,386250,False,True,True,True,False
225,5,1971,1971,630,630,1302,2,6,1991.0,1,280,112000,True,False,False,False,True
226,7,1995,1995,1203,1214,2520,2,9,1995.0,3,721,290000,False,True,False,False,False
227,6,1970,1970,483,483,987,1,5,1987.0,1,280,106000,True,False,False,False,True
228,5,1967,1967,912,912,912,1,5,1974.0,1,336,125000,True,False,False,False,True
229,7,2005,2006,1373,1555,1555,2,7,2005.0,2,430,192500,False,True,False,False,False
230,6,1959,1959,1194,1194,1194,1,6,1959.0,1,312,148000,True,False,False,False,True
231,8,1995,1996,1462,1490,2794,2,9,1995.0,3,810,403000,False,True,False,True,False
232,6,1972,1972,483,483,987,1,5,1972.0,1,288,94500,True,False,False,False,True
233,5,1976,1976,894,894,894,1,5,1976.0,1,308,128200,True,False,False,False,True
234,6,2002,2002,860,860,1960,2,8,2002.0,2,440,216500,False,True,False,False,False
235,6,1971,1971,483,483,987,1,5,1971.0,1,264,89500,True,False,False,False,True
236,7,2004,2004,1414,1414,1414,2,6,2004.0,2,494,185500,False,True,False,False,False
237,7,1993,2003,996,1014,1744,2,7,1993.0,2,457,194500,False,True,False,False,False
238,8,2007,2007,1694,1694,1694,2,7,2007.0,3,818,318000,False,True,True,False,False
239,6,1945,1950,735,798,1487,1,7,1949.0,1,220,113000,True,False,False,False,True
240,8,2008,2008,1566,1566,1566,2,7,2008.0,2,750,262500,False,True,False,False,False
241,5,1945,1997,686,866,866,1,4,,0,0,110500,True,False,False,False,False
242,5,1900,1950,540,889,1440,1,6,1940.0,1,352,79000,True,False,False,False,True
243,6,1980,1980,626,626,1217,1,6,1980.0,1,288,120000,True,False,False,False,True
244,7,1994,2002,948,1222,2110,2,8,1994.0,2,463,205000,False,True,False,False,False
245,7,1988,1988,1845,1872,1872,2,6,1988.0,2,604,241500,True,False,False,False,True
246,6,1910,1950,1020,908,1928,2,9,1910.0,1,440,137000,True,False,False,False,False
247,6,1954,1954,1367,1375,1375,1,5,1954.0,2,451,140000,True,False,False,False,True
248,7,2003,2003,840,840,1668,2,8,2003.0,2,500,180000,False,True,False,False,False
249,6,1958,2006,1444,1444,2144,2,7,1958.0,2,389,277000,False,False,False,False,False
250,3,1940,1966,728,1306,1306,1,6,,0,0,76500,True,False,False,False,False
251,8,2006,2007,1573,1625,1625,2,5,2006.0,2,538,235000,False,True,False,False,False
252,6,2004,2004,798,798,1640,2,6,2004.0,2,520,173000,False,True,False,False,False
253,6,1964,1991,1302,1302,1302,2,7,1964.0,1,309,158000,True,False,False,False,False
254,5,1957,1957,1314,1314,1314,1,5,1957.0,1,294,145000,True,False,False,False,True
255,7,1999,1999,975,1005,2291,2,8,1999.0,2,429,230000,False,True,False,False,False
256,6,2003,2003,864,864,1728,2,7,2003.0,2,673,207500,False,True,False,False,False
257,7,2006,2006,1604,1604,1604,2,8,2006.0,2,660,220000,False,True,False,False,False
258,7,2001,2001,963,963,1792,2,7,2001.0,2,564,231500,False,True,False,False,False
259,5,1956,1956,0,882,882,1,4,1956.0,1,308,97000,True,True,False,False,True
260,6,1962,1962,1362,1382,1382,1,6,1991.0,2,884,176000,True,False,False,False,True
261,8,2007,2007,1482,1482,2574,2,10,2007.0,3,868,276000,False,True,True,True,False
262,6,1977,1995,506,1212,1212,1,6,1978.0,2,492,151000,True,False,False,False,True
263,5,1929,2001,926,926,1316,1,6,1974.0,2,484,130000,True,False,False,False,True
264,5,1925,2004,680,764,764,1,4,1965.0,2,504,73000,True,False,False,False,True
265,6,1981,1981,1422,1422,1422,2,7,1981.0,2,576,175500,True,False,False,False,False
266,6,1997,1997,802,802,1511,2,8,1997.0,2,413,185000,True,True,False,False,True
267,5,1939,1997,720,1052,2192,2,8,1939.0,1,240,179500,True,True,False,False,False
268,5,1940,1955,740,778,778,1,4,1966.0,1,924,120500,True,False,False,False,True
269,6,1976,1976,1143,1113,1113,1,6,1987.0,1,504,148000,True,False,False,False,True
270,8,2006,2006,1095,1095,1939,2,8,2006.0,3,1053,266000,False,True,False,False,False
271,7,1954,2005,1385,1363,1363,1,5,1954.0,2,439,241500,True,False,False,False,True
272,8,1999,2007,1152,1164,2270,2,9,1999.0,3,671,290000,False,True,False,False,False
273,6,1958,1988,1240,1632,1632,2,6,1958.0,1,338,139000,True,False,False,False,True
274,5,1982,1982,816,816,816,1,5,1982.0,1,264,124500,True,False,False,False,True
275,7,1925,2007,952,952,1548,2,5,1978.0,2,672,205000,False,False,False,True,False
276,7,2003,2003,1560,1560,1560,2,7,2003.0,2,573,201000,False,True,True,False,False
277,4,1951,1951,864,864,864,1,4,1951.0,2,400,141000,True,False,False,False,True
278,9,2006,2007,2121,2121,2121,2,8,2007.0,3,732,415298,False,True,True,True,False
279,7,1977,1977,1160,1156,2022,2,8,1977.0,2,505,192000,True,False,False,False,True
280,7,1989,1989,807,1175,1982,2,7,1989.0,2,575,228500,False,False,False,False,False
281,6,2006,2006,1262,1262,1262,2,5,2006.0,2,572,185000,False,True,False,False,False
282,7,2007,2008,1314,1314,1314,2,6,2008.0,2,626,207500,False,True,False,False,False
283,8,2008,2009,1468,1468,1468,2,6,2008.0,3,898,244600,False,True,False,False,False
284,6,1992,1992,1575,1575,1575,2,5,1992.0,2,529,179200,False,True,False,False,False
285,7,2006,2007,625,625,1250,2,5,2006.0,2,528,164700,False,True,False,False,False
286,6,1962,1981,912,1085,1734,1,7,1962.0,2,440,159000,True,False,False,False,False
287,4,1971,1971,858,858,858,1,5,,0,0,88000,True,False,False,False,True
288,5,1967,1967,882,900,900,1,5,1970.0,1,280,122000,True,False,False,False,True
289,6,1915,2003,698,698,1396,1,7,2003.0,1,384,153575,True,False,False,False,True
290,8,2006,2006,1079,1079,1919,2,8,2006.0,2,685,233230,False,True,False,False,False
291,5,1912,2000,780,936,1716,2,9,,0,0,135900,True,True,False,False,False
292,5,1949,2008,768,1148,1716,1,8,1949.0,1,281,131000,True,False,False,False,True
293,7,1977,1994,795,1468,2263,2,9,1977.0,2,539,235000,True,False,False,False,False
294,6,1953,1953,1416,1644,1644,1,7,1953.0,2,418,167000,True,False,False,False,True
295,6,1984,1984,1003,1003,1003,1,6,1984.0,2,588,142500,True,False,False,False,True
296,5,1950,1950,910,910,1558,1,6,1950.0,1,282,152000,True,False,False,False,True
297,7,1997,1998,975,975,1950,2,7,1997.0,2,576,239000,False,True,False,False,False
298,6,1968,1968,702,1041,1743,1,7,1968.0,2,539,175000,False,False,False,False,True
299,6,1950,2004,1092,1152,1152,1,6,1950.0,1,300,158500,True,False,False,False,False
300,5,1953,1953,1165,1336,1336,1,5,1953.0,1,375,157000,True,False,False,False,True
301,8,1998,1999,1028,1210,2452,2,9,1998.0,2,683,267000,False,True,False,False,False
302,7,2001,2002,1541,1541,1541,2,6,2001.0,3,843,205000,False,True,False,False,False
303,5,1972,1972,894,894,894,1,5,1975.0,2,552,149900,True,True,False,False,True
304,7,1880,2002,1470,1675,3493,3,10,2003.0,3,870,295000,True,False,False,False,False
305,8,2004,2005,2000,2000,2000,2,8,2004.0,3,888,305900,False,True,False,False,False
306,7,1990,1991,700,1122,2243,2,8,1990.0,3,746,225000,False,False,False,False,False
307,6,1920,1950,319,1035,1406,1,6,,0,0,89500,True,False,False,False,False
308,4,1940,1950,861,861,861,1,4,1961.0,2,539,82500,True,False,False,False,True
309,9,2003,2004,1896,1944,1944,2,8,2003.0,3,708,360000,False,True,True,True,False
310,6,1993,1994,697,697,1501,2,6,1993.0,2,420,165600,True,True,False,False,False
311,6,1948,2002,972,972,972,1,5,1948.0,1,240,132000,True,False,False,False,True
312,5,1939,1950,793,793,1118,1,5,1939.0,2,410,119900,True,False,False,False,True
